EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,si_created,fn_created,si_modified,fn_modified,si_entry_mod,fn_entry_mod,si_accessed,fn_accessed,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile,ResidentDataBase64,ResidentDataHex,ResidentDataASCII,A1_SI_Created_LT_FN,A2_SI_Mod_LT_SI_Created,A3_SI_Entry_LT_SI_Created,A4_ZeroSubSec_si_created,A4_ZeroSubSec_si_modified,A5_All_SI_Identical,MethodA_Score,MethodA_Flagged,GroundTruth_Timestomped
473767,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,VDS.EXE-2FCA9D16.pf,.pf,6953,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,14:06.1,54:59.5,14:06.1,54:59.5,57:06.9,54:59.5,538635120,2099423682,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473768,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,VDSLDR.EXE-50179B50.pf,.pf,4069,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,14:06.0,54:59.5,14:06.0,54:59.5,57:07.1,54:59.5,538635640,2099423716,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473769,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,VMCOMPUTE.EXE-70EDF8B5.pf,.pf,6930,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,36:09.5,54:59.5,36:09.5,54:59.5,57:07.3,54:59.5,538636288,2099423763,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473770,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,VMTOOLSD.EXE-90328040.pf,.pf,19576,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,19:21.4,54:59.5,19:21.4,54:59.5,57:07.4,54:59.5,538636848,2099423797,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473771,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,VMWP.EXE-956F1D87.pf,.pf,13699,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,36:09.7,54:59.5,36:09.7,54:59.5,57:07.9,54:59.5,538637376,2099423831,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473772,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,VSSVC.EXE-6C8F0C66.pf,.pf,7719,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,24:49.9,54:59.5,24:49.9,54:59.5,57:08.0,54:59.5,538637896,2099423865,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473773,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,WAASMEDICAGENT.EXE-F5A0D296.pf,.pf,18947,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,10:04.1,54:59.5,10:04.1,54:59.5,57:08.3,54:59.5,538638480,2099423899,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473774,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,WEVTUTIL.EXE-1E154F39.pf,.pf,3003,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,44:21.1,54:59.5,44:21.1,54:59.5,57:08.9,54:59.5,538639048,2099423933,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473775,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,WINDOWS-KB890830-X64-V5.141.E-7EADE3D9.pf,.pf,31763,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,56:34.3,54:59.5,56:34.3,54:59.5,57:09.0,54:59.5,538639736,2099423967,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473776,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,WLRMDR.EXE-A7C36FDD.pf,.pf,3220,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,19:21.4,54:59.5,19:21.4,54:59.5,57:09.1,54:59.5,538640384,2099424001,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473777,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,WMIADAP.EXE-BB21CD77.pf,.pf,5020,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,22:50.8,54:59.5,22:50.8,54:59.5,57:09.2,54:59.5,538640936,2099424035,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473778,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,WMIAPSRV.EXE-FC8436DD.pf,.pf,5279,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,00:03.2,54:59.5,00:03.2,54:59.5,57:09.4,54:59.5,538641496,2099424069,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473779,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,WMIPRVSE.EXE-E8B8DD29.pf,.pf,18992,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,07:31.4,54:59.5,07:31.4,54:59.5,57:09.6,54:59.5,538642056,2099424103,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
